drug_concept_id,drug_concept_name,vocabulary_id,concept_class_id,drug_concept_code,drug_class_name
40232334,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],RxNorm,Branded Drug,1050805,CCB
19134282,Nifedipine 10 MG Extended Release Oral Capsule [Coracten],RxNorm,Branded Drug,844462,CCB
40167850,Amlodipine 5 MG / telmisartan 40 MG Oral Tablet [Twynsta],RxNorm,Branded Drug,876528,CCB
19024115,Nifedipine 10 MG Oral Capsule [Angiopine],RxNorm,Branded Drug,200886,CCB
40232331,aliskiren 150 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet [Amturnide],RxNorm,Branded Drug,1050802,CCB
40165081,Nicardipine hydrochloride 20 MG Oral Capsule [Cardene],RxNorm,Branded Drug,858615,CCB
19134812,Nifedipine 60 MG Extended Release Oral Tablet [Adalat],RxNorm,Branded Drug,845005,CCB
1345162,Mibefradil 50 MG Oral Tablet [Posicor],RxNorm,Branded Drug,153746,CCB
19134546,Nifedipine 20 MG Extended Release Oral Tablet [Nifopress Retard],RxNorm,Branded Drug,844729,CCB
40232337,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet [Amturnide],RxNorm,Branded Drug,1050808,CCB
19128165,Amlodipine 5 MG / atorvastatin 20 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750231,CCB
42628860,Nicardipine hydrochloride 0.1 MG/ML Injection [Cardene],RxNorm,Branded Drug,1791344,CCB
19128159,Amlodipine 2.5 MG / atorvastatin 20 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750219,CCB
19036443,Nifedipine 10 MG Oral Capsule [Procardia],RxNorm,Branded Drug,207765,CCB
19134251,Nifedipine 40 MG Extended Release Oral Tablet [Angiopine 40 LA],RxNorm,Branded Drug,844431,CCB
40165092,Nicardipine hydrochloride 45 MG Extended Release Oral Capsule [Cardene],RxNorm,Branded Drug,858585,CCB
19134750,Nisoldipine 30 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,844943,CCB
42628866,Nicardipine hydrochloride 2.5 MG/ML Injection [Cardene],RxNorm,Branded Drug,1791357,CCB
974859,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / valsartan 160 MG Oral Tablet [Exforge HCT],RxNorm,Branded Drug,848134,CCB
19128163,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750227,CCB
1345163,Mibefradil 100 MG Oral Tablet [Posicor],RxNorm,Branded Drug,153747,CCB
19134255,Nifedipine 10 MG Extended Release Oral Tablet [Tensipine MR 10],RxNorm,Branded Drug,844435,CCB
1318988,Nifedipine 10 MG Oral Capsule [Adalat],RxNorm,Branded Drug,91691,CCB
1332442,Amlodipine 10 MG Oral Tablet [Norvasc],RxNorm,Branded Drug,212575,CCB
19134540,Nifedipine 20 MG Extended Release Oral Tablet [Nifedipress MR 20],RxNorm,Branded Drug,844723,CCB
40224179,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],RxNorm,Branded Drug,1000005,CCB
19033958,Isradipine 5 MG Oral Capsule [Dynacirc],RxNorm,Branded Drug,206934,CCB
19134238,Felodipine 10 MG Extended Release Oral Tablet [Plendil],RxNorm,Branded Drug,844418,CCB
40224170,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],RxNorm,Branded Drug,999995,CCB
19134262,Nifedipine 10 MG Extended Release Oral Tablet [Angiopine MR],RxNorm,Branded Drug,844442,CCB
19134543,Nifedipine 30 MG Extended Release Oral Capsule [Coracten XL],RxNorm,Branded Drug,844726,CCB
19134260,Nifedipine 20 MG Extended Release Oral Tablet [Nifedotard 20MR],RxNorm,Branded Drug,844440,CCB
19134544,Nifedipine 60 MG Extended Release Oral Capsule [Coracten XL],RxNorm,Branded Drug,844727,CCB
19134230,Nifedipine 20 MG Extended Release Oral Tablet [Cardilate MR],RxNorm,Branded Drug,844410,CCB
19134259,Nifedipine 20 MG Extended Release Oral Tablet [Adalat LA],RxNorm,Branded Drug,844439,CCB
1312779,Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Azor],RxNorm,Branded Drug,744636,CCB
19024113,Nifedipine 10 MG Oral Capsule [Vasad],RxNorm,Branded Drug,200884,CCB
19128157,Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750215,CCB
40165098,Nicardipine hydrochloride 60 MG Extended Release Oral Capsule [Cardene],RxNorm,Branded Drug,858597,CCB
19099857,Osmotic 24 HR Nifedipine 30 MG Extended Release Oral Tablet [Nifedical],RxNorm,Branded Drug,360394,CCB
40171551,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule [Lotrel],RxNorm,Branded Drug,898348,CCB
43526897,Nimodipine 3 MG/ML Oral Solution [Nymalize],RxNorm,Branded Drug,1423773,CCB
19128155,Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750211,CCB
40168080,Nifedipine 30 MG Extended Release Oral Tablet [Nifediac],RxNorm,Branded Drug,880434,CCB
40168736,Isradipine 10 MG Extended Release Oral Tablet [Dynacirc],RxNorm,Branded Drug,885734,CCB
40171560,Amlodipine 5 MG / Benazepril hydrochloride 20 MG Oral Capsule [Lotrel],RxNorm,Branded Drug,898358,CCB
1332530,Amlodipine 10 MG / valsartan 320 MG Oral Tablet [Exforge],RxNorm,Branded Drug,724887,CCB
40168738,Isradipine 5 MG Extended Release Oral Tablet [Dynacirc],RxNorm,Branded Drug,885736,CCB
19134538,Nifedipine 10 MG Extended Release Oral Tablet [Nivaten Retard],RxNorm,Branded Drug,844721,CCB
19128169,Amlodipine 5 MG / atorvastatin 80 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750239,CCB
19134258,Nifedipine 40 MG Extended Release Oral Tablet [Fortipine LA40],RxNorm,Branded Drug,844438,CCB
1332532,Amlodipine 5 MG / valsartan 320 MG Oral Tablet [Exforge],RxNorm,Branded Drug,724895,CCB
40165086,Nicardipine hydrochloride 30 MG Extended Release Oral Capsule [Cardene],RxNorm,Branded Drug,858591,CCB
42628864,Nicardipine hydrochloride 0.2 MG/ML Injection [Cardene],RxNorm,Branded Drug,1791350,CCB
19134277,Nifedipine 20 MG Extended Release Oral Tablet [Adalate LP],RxNorm,Branded Drug,844457,CCB
19003890,Nifedipine 5 MG Oral Capsule [Angiopine],RxNorm,Branded Drug,104411,CCB
974887,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],RxNorm,Branded Drug,848155,CCB
40224176,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet [Tribenzor],RxNorm,Branded Drug,1000000,CCB
19016653,Nisoldipine 10 MG Extended Release Oral Tablet [Syscor MR],RxNorm,Branded Drug,152936,CCB
974861,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / valsartan 320 MG Oral Tablet [Exforge HCT],RxNorm,Branded Drug,848139,CCB
40165779,Enalapril Maleate 5 MG / Felodipine 2.5 MG Extended Release Oral Tablet [Lexxel],RxNorm,Branded Drug,858884,CCB
19134547,Nifedipine 30 MG Extended Release Oral Tablet [Slofedipine XL],RxNorm,Branded Drug,844730,CCB
45892993,Amlodipine 5 MG / Perindopril arginine 7 MG Oral Tablet [Prestalia],RxNorm,Branded Drug,1600730,CCB
19036449,Osmotic 24 HR Nifedipine 30 MG Extended Release Oral Tablet [Procardia],RxNorm,Branded Drug,207772,CCB
42629418,clevidipine 0.5 MG/ML Injection [Cleviprex],RxNorm,Branded Drug,1790244,CCB
19134909,Nisoldipine 34 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,845102,CCB
19128161,Amlodipine 2.5 MG / atorvastatin 10 MG Oral Tablet [Caduet],RxNorm,Branded Drug,750223,CCB
19134903,Nisoldipine 17 MG Extended Release Oral Tablet [Sular],RxNorm,Branded Drug,845096,CCB
40165782,Enalapril Maleate 5 MG / Felodipine 5 MG Extended Release Oral Tablet [Lexxel],RxNorm,Branded Drug,858892,CCB
19024114,Nifedipine 10 MG Oral Capsule [Calcilat],RxNorm,Branded Drug,200885,CCB
974885,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet [Exforge HCT],RxNorm,Branded Drug,848149,CCB
19010379,Nifedipine 10 MG Oral Capsule [Calanif],RxNorm,Branded Drug,108745,CCB
40226373,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet [Tekamlo],RxNorm,Branded Drug,1009249,CCB
19134270,Nifedipine 10 MG Extended Release Oral Tablet [Nifedipress MR 10],RxNorm,Branded Drug,844450,CCB
1318989,Nifedipine 20 MG Oral Capsule [Adalat],RxNorm,Branded Drug,91692,CCB
19134281,Nifedipine 60 MG Extended Release Oral Tablet [Adalat LA],RxNorm,Branded Drug,844461,CCB
19000880,Nifedipine 10 MG Oral Capsule [Calcipine],RxNorm,Branded Drug,102338,CCB
19010432,Nifedipine 5 MG Oral Capsule [Calanif],RxNorm,Branded Drug,108781,CCB
45892989,Amlodipine 2.5 MG / Perindopril arginine 3.5 MG Oral Tablet [Prestalia],RxNorm,Branded Drug,1600726,CCB
19134548,Nifedipine 60 MG Extended Release Oral Tablet [Slofedipine XL],RxNorm,Branded Drug,844731,CCB
19134256,Nifedipine 20 MG Extended Release Oral Tablet [Tensipine MR 20],RxNorm,Branded Drug,844436,CCB
1319139,Citicoline 100 MG / Nimodipine 30 MG Oral Tablet,RxNorm,Clinical Drug,249672,CCB
19101994,Atenolol 50 MG / Nifedipine 20 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,393275,CCB
19134542,Nifedipine 60 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,844725,CCB
1319943,Nisoldipine 20 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,562514,CCB
19112983,Nifedipine 90 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,491086,CCB
19134904,Nisoldipine 25.5 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,845097,CCB
19127430,Amlodipine 10 MG / Olmesartan medoxomil 20 MG Oral Tablet,RxNorm,Clinical Drug,730861,CCB
19019310,Nifedipine 20 MG Oral Capsule,RxNorm,Clinical Drug,198033,CCB
19104027,mepirodipine 10 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,412200,CCB
1318859,Nifedipine 5 MG Oral Capsule,RxNorm,Clinical Drug,199329,CCB
1332500,Amlodipine 10 MG / atorvastatin 10 MG Oral Tablet,RxNorm,Clinical Drug,597987,CCB
1332522,Amlodipine 2.5 MG / atorvastatin 40 MG Oral Tablet,RxNorm,Clinical Drug,597993,CCB
19112979,Nifedipine 30 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,491070,CCB
19107499,Acebutolol 100 MG / Nifedipine 10 MG Oral Tablet,RxNorm,Clinical Drug,432616,CCB
1345165,Mibefradil 100 MG Oral Tablet,RxNorm,Clinical Drug,242325,CCB
19103844,Metoprolol 50 MG / Nifedipine 15 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,411867,CCB
40171550,Amlodipine 10 MG / Benazepril hydrochloride 40 MG Oral Capsule,RxNorm,Clinical Drug,898346,CCB
19015804,lercanidipine 20 MG Oral Tablet,RxNorm,Clinical Drug,349485,CCB
1332528,Amlodipine 5 MG / valsartan 320 MG Oral Tablet,RxNorm,Clinical Drug,722137,CCB
40165074,Nicardipine hydrochloride 10 MG Oral Tablet,RxNorm,Clinical Drug,858996,CCB
40165082,Nicardipine hydrochloride 20 MG Oral Tablet,RxNorm,Clinical Drug,858994,CCB
1318860,Nifedipine 20 MG Oral Tablet,RxNorm,Clinical Drug,199782,CCB
19106594,manidipine 20 MG Oral Tablet,RxNorm,Clinical Drug,429052,CCB
1719007,Osmotic 24 HR Nifedipine 30 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,1812011,CCB
19105732,Nitrendipine 5 MG/ML Oral Solution,RxNorm,Clinical Drug,422272,CCB
40165087,Nicardipine hydrochloride 30 MG Oral Capsule,RxNorm,Clinical Drug,858616,CCB
19134561,Nifedipine 20 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,844745,CCB
19020063,Nitrendipine 20 MG Oral Tablet,RxNorm,Clinical Drug,249387,CCB
40167852,Amlodipine 5 MG / telmisartan 80 MG Oral Tablet,RxNorm,Clinical Drug,876529,CCB
40224169,Amlodipine 10 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,RxNorm,Clinical Drug,999991,CCB
40224178,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / Olmesartan medoxomil 40 MG Oral Tablet,RxNorm,Clinical Drug,1000001,CCB
40224175,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,RxNorm,Clinical Drug,999996,CCB
1332497,Amlodipine 5 MG / atorvastatin 10 MG Oral Tablet,RxNorm,Clinical Drug,597977,CCB
19107546,"ergoloid mesylates, USP 2 MG / Nifedipine 20 MG Oral Tablet",RxNorm,Clinical Drug,432674,CCB
42629417,clevidipine 0.5 MG/ML Injection,RxNorm,Clinical Drug,1790243,CCB
45892991,Amlodipine 5 MG / Perindopril arginine 7 MG Oral Tablet,RxNorm,Clinical Drug,1600728,CCB
19125704,Felodipine 10 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,700745,CCB
1353780,Felodipine 2.5 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,197692,CCB
19107123,idebenone 45 MG / Nimodipine 30 MG Oral Tablet,RxNorm,Clinical Drug,430564,CCB
1719009,Osmotic 24 HR Nifedipine 90 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,1812015,CCB
19019309,Nifedipine 10 MG Oral Capsule,RxNorm,Clinical Drug,198032,CCB
19104654,Nifedipine 0.1 MG/ML Injectable Solution,RxNorm,Clinical Drug,415900,CCB
1318914,Nifedipine 10 MG Oral Tablet,RxNorm,Clinical Drug,314132,CCB
1319950,Nisoldipine 8.5 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,763497,CCB
19129157,Amlodipine 5 MG Disintegrating Oral Tablet,RxNorm,Clinical Drug,757676,CCB
19107317,Felodipine 5 MG / Metoprolol 47.5 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,431674,CCB
1319136,Nimodipine 30 MG Oral Tablet,RxNorm,Clinical Drug,199783,CCB
1345164,Mibefradil 50 MG Oral Tablet,RxNorm,Clinical Drug,242324,CCB
19019334,Nimodipine 30 MG Oral Capsule,RxNorm,Clinical Drug,198037,CCB
1353820,Felodipine 5 MG / Ramipril 5 MG Oral Tablet,RxNorm,Clinical Drug,389181,CCB
19103475,Amlodipine 5 MG Oral Capsule,RxNorm,Clinical Drug,410587,CCB
1319944,Nisoldipine 30 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,562515,CCB
19101748,Felodipine 2.5 MG / Ramipril 2.5 MG Oral Tablet,RxNorm,Clinical Drug,389180,CCB
19011549,lacidipine 4 MG Oral Tablet,RxNorm,Clinical Drug,141903,CCB
19103936,nilvadipine 8 MG Extended Release Oral Capsule,RxNorm,Clinical Drug,412047,CCB
19106593,manidipine 10 MG Oral Tablet,RxNorm,Clinical Drug,429051,CCB
1319140,Nimodipine 60 MG Oral Tablet,RxNorm,Clinical Drug,249726,CCB
40232339,aliskiren 300 MG / Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG Oral Tablet,RxNorm,Clinical Drug,1050809,CCB
40226372,aliskiren 150 MG / Amlodipine 10 MG Oral Tablet,RxNorm,Clinical Drug,1009247,CCB
19107812,Nisoldipine 10 MG Oral Tablet,RxNorm,Clinical Drug,433467,CCB
1319141,Nimodipine 40 MG/ML Oral Solution,RxNorm,Clinical Drug,251246,CCB
40224172,Amlodipine 5 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 20 MG Oral Tablet,RxNorm,Clinical Drug,999967,CCB
40224166,Amlodipine 10 MG / Hydrochlorothiazide 12.5 MG / Olmesartan medoxomil 40 MG Oral Tablet,RxNorm,Clinical Drug,999986,CCB
1319942,Nisoldipine 10 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,562154,CCB
40171547,Amlodipine 10 MG / Benazepril hydrochloride 20 MG Oral Capsule,RxNorm,Clinical Drug,898342,CCB
19101798,Nifedipine 60 MG Oral Tablet,RxNorm,Clinical Drug,391901,CCB
19112981,Nifedipine 60 MG Extended Release Oral Tablet,RxNorm,Clinical Drug,491078,CCB
19127432,Amlodipine 10 MG / Olmesartan medoxomil 40 MG Oral Tablet,RxNorm,Clinical Drug,730866,CCB
19129156,Amlodipine 2.5 MG Disintegrating Oral Tablet,RxNorm,Clinical Drug,757675,CCB
1332526,Amlodipine 10 MG / valsartan 320 MG Oral Tablet,RxNorm,Clinical Drug,722131,CCB
40226391,aliskiren 300 MG / Amlodipine 10 MG Oral Tablet,RxNorm,Clinical Drug,1009315,CCB
40171562,Amlodipine 5 MG / Benazepril hydrochloride 40 MG Oral Capsule,RxNorm,Clinical Drug,898359,CCB
19102567,Amlodipine 10 MG / atorvastatin 80 MG Oral Tablet,RxNorm,Clinical Drug,404013,CCB
19064962,Atenolol 25 MG / Nifedipine 10 MG Oral Tablet,RxNorm,Clinical Drug,252201,CCB
974884,Amlodipine 5 MG / Hydrochlorothiazide 25 MG / valsartan 160 MG Oral Tablet,RxNorm,Clinical Drug,848145,CCB
19127434,Amlodipine 5 MG / Olmesartan medoxomil 40 MG Oral Tablet,RxNorm,Clinical Drug,730872,CCB
40232336,aliskiren 300 MG / Amlodipine 10 MG / Hydrochlorothiazide 25 MG Oral Tablet,RxNorm,Clinical Drug,1050806,CCB
